Customer_ID,Transactions,Total_Quantity,Total_Sales,Total_Profit,Average_Transaction_Value,Customer_Name,Segment,Customer_Value_Segment
C00034,6,18,418291.76,139321.2,69715.29333333333,Sanjay Gupta,SMB,Low Value
C00035,3,8,212405.47999999998,53276.71000000001,70801.82666666666,Rohit Gupta,Enterprise,Low Value
C00036,1,4,50979.96,9231.28,50979.96,Asha Patel,Corporate,Low Value
C00037,3,10,176657.49,31563.92,58885.829999999994,Rohit Rao,Retail,Low Value
C00038,6,27,720076.08,213291.4,120012.68,Rahul Das,Retail,Medium Value
C00039,8,47,1053899.55,326255.06,131737.44375,Divya Nair,SMB,High Value
C00040,6,28,504190.32999999996,156483.44,84031.72166666666,Anitha Rao,Retail,Low Value
C00041,9,45,754523.11,145599.12,83835.9011111111,Surya Iyer,SMB,Medium Value
C00042,19,95,2497974.9,663827.05,131472.36315789472,Anitha Iyer,Enterprise,High Value
C00043,4,21,408521.19,36181.89000000001,102130.2975,Pooja Iyer,Retail,Low Value
C00044,6,25,406910.17000000004,83015.12,67818.36166666668,Ajay Singh,Enterprise,Low Value
C00045,10,50,1317362.58,329114.39999999997,131736.258,Priya Reddy,Retail,High Value
C00046,8,33,756049.75,234752.68,94506.21875,Manoj Nair,SMB,Medium Value
C00047,17,55,1126111.15,289541.42,66241.83235294117,Karthik Reddy,SMB,High Value
C00048,6,29,719998.4199999999,220073.30000000002,119999.73666666665,Manoj Rao,Corporate,Medium Value
C00049,12,67,1713179.7,457591.67,142764.975,Deepak Sharma,Enterprise,High Value
C00050,6,37,965069.56,240291.57,160844.92666666667,Deepak Singh,Retail,High Value
C00051,9,35,680781.61,92637.84,75642.4011111111,,,Medium Value
C00052,7,23,278834.8,77866.04000000001,39833.54285714286,Arun Das,Corporate,Low Value
C00053,4,21,471081.58,150120.1,117770.395,Deepak Iyer,Enterprise,Low Value
C00054,9,28,967276.7,331573.89,107475.18888888888,Manoj Sharma,Enterprise,High Value
C00055,6,24,523049.47,130666.79000000001,87174.91166666667,Divya Rao,Retail,Low Value
C00056,4,15,548525.6799999999,145950.39,137131.41999999998,Anitha Sharma,Corporate,Low Value
C00057,8,32,521336.08,115351.64,65167.01,Deepak Sharma,Corporate,Low Value
C00058,3,13,277316.07,73279.4,92438.69,Sneha Sharma,Retail,Low Value
C00059,14,66,1458896.96,348628.5,104206.92571428571,Rahul Patel,Retail,High Value
C00061,6,22,375937.94,98730.32,62656.323333333334,Sanjay Reddy,Corporate,Low Value
C00062,1,7,117479.19,-3501.52,117479.19,Surya Kumar,Enterprise,Low Value
C00063,6,19,516341.56,174431.81,86056.92666666667,Karthik Kumar,Enterprise,Low Value
C00064,3,9,180515.32,51081.880000000005,60171.77333333334,Manoj Gupta,Retail,Low Value
C00065,2,6,218949.89,93578.06,109474.945,Deepak Reddy,Retail,Low Value
C00066,10,43,1024861.96,316785.27,102486.196,Karthik Patel,Corporate,High Value
C00067,10,46,1170387.41,239085.65000000002,117038.741,Nisha Rao,Corporate,High Value
C00068,5,27,589970.62,175432.27000000002,117994.124,Sanjay Sharma,Corporate,Low Value
C00069,6,34,1023132.75,294767.67,170522.125,Surya Reddy,Enterprise,High Value
C00070,10,51,1448479.62,352458.92,144847.962,Nisha Iyer,Corporate,High Value
C00071,6,37,1342792.14,414703.99,223798.68999999997,Pooja Iyer,Enterprise,High Value
C00073,7,26,477007.97,152898.64,68143.99571428572,Divya Iyer,Retail,Low Value
C00074,5,22,556675.85,129694.06,111335.17,Rahul Reddy,SMB,Low Value
C00075,14,56,1063122.65,318057.18,75937.33214285714,Pooja Nair,SMB,High Value
C00076,3,15,207030.94,36474.42,69010.31333333334,Asha Patel,Enterprise,Low Value
C00077,4,24,390734.2,73382.17,97683.55,Surya Das,Corporate,Low Value
C00078,3,14,468132.51,150789.96,156044.17,Sneha Patel,SMB,Low Value
C00079,8,36,502210.01999999996,103123.44,62776.252499999995,Asha Sharma,Retail,Low Value
C00080,12,52,1178582.54,340512.52,98215.21166666667,Deepak Reddy,Corporate,High Value
C00081,5,20,307645.3,49365.09,61529.06,Pooja Kumar,Corporate,Low Value
C00082,3,9,362759.55,142579.53,120919.84999999999,Anitha Patel,Retail,Low Value
C00083,4,15,417807.83,147038.62,104451.9575,Karthik Singh,Corporate,Low Value
C00084,10,55,968986.0499999999,284029.66000000003,96898.605,Lakshmi Kumar,Retail,High Value
C00085,10,49,1126316.85,355021.42,112631.68500000001,Divya Singh,SMB,High Value
C00086,4,26,360042.25,128470.55000000002,90010.5625,Lakshmi Das,Retail,Low Value
C00087,7,35,749413.0900000001,229220.87,107059.01285714286,Deepak Gupta,SMB,Medium Value
C00088,7,45,887897.6900000001,110861.81,126842.52714285716,,,Medium Value
C00089,11,58,1653018.47,495061.12,150274.40636363637,Priya Iyer,Retail,High Value
C00090,3,16,374899.03,46080.049999999996,124966.34333333334,Anitha Singh,Retail,Low Value
C00091,2,14,174819.22,22002.54,87409.61,Divya Gupta,Enterprise,Low Value
C00092,18,80,1936366.46,493131.35,107575.91444444444,Sneha Das,Corporate,High Value
C00093,7,31,955807.4199999999,275874.32,136543.91714285713,Karthik Singh,SMB,High Value
C00094,6,40,868083.11,220850.87,144680.51833333334,Nisha Iyer,Corporate,Medium Value
C00095,5,17,173236.81,30323.549999999996,34647.362,Vijay Singh,Enterprise,Low Value
C00096,5,18,428000.63,120995.58,85600.126,Divya Nair,Corporate,Low Value
C00097,4,25,669539.39,92742.72,167384.8475,Sneha Das,Corporate,Medium Value
C00098,10,52,931259.7,164126.96000000002,93125.97,Priya Rao,SMB,Medium Value
C00099,2,14,357126.03,17420.510000000002,178563.015,Sanjay Singh,Enterprise,Low Value
C00100,8,28,777108.7300000001,211267.8,97138.59125000001,Anitha Das,Retail,Medium Value
C00101,4,17,458647.49,72332.82,114661.8725,Ajay Kumar,Retail,Low Value
C00102,14,53,1624080.47,539611.95,116005.74785714285,Arun Reddy,Corporate,High Value
C00103,16,53,1330115.87,414173.89,83132.241875,Anitha Rao,Retail,High Value
C00104,5,28,617101.81,184643.41999999998,123420.36200000001,Manoj Sharma,SMB,Low Value
C00105,7,40,1215039.03,375194.83999999997,173577.0042857143,Meena Sharma,Retail,High Value
C00106,8,32,716116.07,202839.64,89514.50875,Asha Sharma,Enterprise,Medium Value
C00107,5,26,775797.03,282435.24,155159.40600000002,Kavya Patel,Retail,Medium Value
C00108,2,7,122142.82,5172.83,61071.41,Manoj Sharma,Enterprise,Low Value
C00109,2,10,192760.41,46589.14,96380.205,Nisha Reddy,SMB,Low Value
C00110,6,32,1034552.65,305140.76,172425.44166666668,Rahul Patel,Corporate,High Value
C00111,7,33,824528.3799999999,283696.66000000003,117789.76857142856,Lakshmi Sharma,Retail,Medium Value
C00112,7,22,586737.22,135312.33000000002,83819.60285714285,Pooja Gupta,Retail,Low Value
C00113,11,44,796395.76,248586.04,72399.61454545455,Deepak Nair,SMB,Medium Value
C00115,8,26,290013.53,88830.13,36251.69125,Sanjay Patel,Enterprise,Low Value
C00116,15,63,1138761.15,311261.99,75917.40999999999,Vijay Iyer,Enterprise,High Value
C00117,6,21,232962.24,50152.09,38827.04,Deepak Reddy,SMB,Low Value
C00118,3,17,535427.19,113235.04,178475.72999999998,Arun Sharma,Retail,Low Value
C00119,7,28,822703.41,253994.14,117529.05857142857,Lakshmi Kumar,Corporate,Medium Value
C00120,7,27,482236.79000000004,127999.26,68890.97,Meena Rao,Enterprise,Low Value
C00121,5,17,137840.6,26394.23,27568.120000000003,Pooja Das,Corporate,Low Value
C00122,11,57,851649.29,193079.28999999998,77422.66272727273,Anitha Rao,SMB,Medium Value
C00123,6,26,519125.35,127217.76,86520.89166666666,Manoj Sharma,Enterprise,Low Value
C00124,4,12,272476.43,81018.99,68119.1075,Nisha Rao,Corporate,Low Value
C00125,4,27,1027008.3,401391.78,256752.075,Vijay Reddy,Corporate,Medium Value
C00126,12,51,1170128.8599999999,325930.97000000003,97510.73833333333,Arun Sharma,Corporate,High Value
C00127,5,24,469455.39999999997,140960.03,93891.07999999999,Karthik Kumar,Enterprise,Low Value
C00128,2,14,379057.05,63256.41,189528.525,Divya Rao,SMB,Low Value
C00129,5,16,383729.52999999997,60927.17,76745.90599999999,Karthik Rao,Retail,Low Value
C00130,10,27,651254.84,161778.74,65125.484,Priya Rao,Corporate,Medium Value
C00131,11,53,1194345.1300000001,356441.01,108576.83000000002,Rahul Sharma,Corporate,High Value
C00132,8,35,1069683.55,291419.89,133710.44375,Rahul Patel,Corporate,High Value
C00133,4,28,423088.85,120538.19,105772.2125,Sanjay Das,Corporate,Low Value
C00134,10,46,1221130.27,340186.93,122113.027,Sneha Rao,Enterprise,High Value
C00135,9,31,638116.47,103202.77,70901.83,Kavya Kumar,Enterprise,Medium Value
C00136,9,34,1112658.3,360440.51,123628.70000000001,Arun Gupta,Corporate,High Value
C00137,9,48,838508.29,159224.92,93167.58777777778,Sneha Iyer,Corporate,Medium Value
C00138,10,47,740900.93,174837.7,74090.09300000001,Vijay Kumar,Corporate,Medium Value
C00139,3,18,193554.94,45095.72,64518.31333333333,Pooja Iyer,Corporate,Low Value
C00140,5,10,196914.7,44415.8,39382.94,Asha Nair,Corporate,Low Value
C00141,5,16,200314.16999999998,48565.39,40062.833999999995,Asha Nair,Enterprise,Low Value
C00142,4,15,402296.83999999997,115561.7,100574.20999999999,Vijay Patel,Enterprise,Low Value
C00143,7,25,582474.66,155387.26,83210.66571428571,Vijay Das,Enterprise,Low Value
C00144,4,17,613085.26,150930.03,153271.315,Surya Iyer,Corporate,Low Value
C00145,9,54,1252411.36,327001.50999999995,139156.8177777778,Karthik Singh,Retail,High Value
C00146,24,112,2624666.37,685878.08,109361.09875,Vijay Iyer,Enterprise,High Value
C00147,5,21,467587.35,169300.47,93517.47,Lakshmi Gupta,SMB,Low Value
C00148,5,23,714893.36,221567.62,142978.672,Divya Rao,Enterprise,Medium Value
C00149,3,7,85109.12,30565.55,28369.706666666665,Asha Reddy,Corporate,Low Value
C00150,2,3,63869.79000000001,16259.82,31934.895000000004,Sanjay Singh,Retail,Low Value
C00151,5,18,477446.11,174995.0,95489.222,Asha Kumar,SMB,Low Value
C00152,3,18,186452.93,18627.320000000003,62150.97666666666,Kavya Reddy,Enterprise,Low Value
C00153,4,10,347270.9,77366.66,86817.725,Sanjay Singh,Corporate,Low Value
C00154,2,6,80042.56999999999,7913.52,40021.284999999996,Ajay Patel,Retail,Low Value
C00155,4,25,648822.8400000001,237470.69,162205.71000000002,Arun Nair,Enterprise,Medium Value
C00156,4,23,767367.67,224320.43,191841.9175,Pooja Iyer,Enterprise,Medium Value
C00157,4,16,583692.05,184492.78999999998,145923.0125,Kavya Nair,SMB,Low Value
C00158,8,28,816507.51,231470.81,102063.43875,Ajay Nair,Enterprise,Medium Value
C00159,2,11,316919.07,72669.67,158459.535,Meena Kumar,Retail,Low Value
C00160,4,22,614327.69,240748.37,153581.9225,Divya Singh,Enterprise,Low Value
C00161,7,31,797214.33,209086.63,113887.76142857142,Rahul Das,Enterprise,Medium Value
C00163,6,32,631419.27,153753.45,105236.545,Karthik Iyer,SMB,Medium Value
C00164,12,40,814149.96,194271.77000000002,67845.83,Deepak Das,Retail,Medium Value
C00165,10,41,571539.88,83352.61,57153.988,Karthik Das,SMB,Low Value
C00166,16,79,2268655.8000000003,578874.52,141790.98750000002,Asha Das,Enterprise,High Value
C00167,6,18,406481.91000000003,86093.65,67746.985,Vijay Gupta,Retail,Low Value
C00168,11,44,1212137.1199999999,343930.09,110194.28363636363,Priya Das,Retail,High Value
C00169,4,13,262564.65,35441.770000000004,65641.1625,Anitha Rao,Corporate,Low Value
C00170,8,32,983918.7,276314.08,122989.8375,Anitha Sharma,SMB,High Value
C00171,3,19,476550.3,111459.60999999999,158850.1,Meena Kumar,Retail,Low Value
C00172,5,31,622406.84,164888.57,124481.36799999999,Asha Rao,SMB,Low Value
C00173,12,59,1304879.1300000001,336813.33999999997,108739.9275,Vijay Sharma,Retail,High Value
C00174,8,26,825905.69,288349.72,103238.21125,Meena Patel,Retail,Medium Value
C00175,12,57,1281799.04,401701.98000000004,106816.58666666667,Meena Kumar,Corporate,High Value
C00176,12,48,1175737.5,354860.95999999996,97978.125,Deepak Singh,SMB,High Value
C00177,5,26,631930.4,197972.68,126386.08,Meena Singh,SMB,Medium Value
C00178,7,27,654907.8,168018.16,93558.25714285715,Ajay Kumar,SMB,Medium Value
C00179,5,18,323098.05,100239.43000000001,64619.61,Karthik Nair,Corporate,Low Value
C00180,5,28,720565.0900000001,267756.72,144113.018,Rahul Singh,Corporate,Medium Value
C00181,5,21,786823.12,185415.68,157364.624,Nisha Reddy,Corporate,Medium Value
C00182,7,31,730905.19,214326.42,104415.02714285713,Rohit Patel,Enterprise,Medium Value
C00183,5,25,420436.02,126091.09999999999,84087.204,Priya Iyer,SMB,Low Value
C00184,12,61,1076797.04,292883.57,89733.08666666667,Priya Patel,SMB,High Value
C00185,13,60,1491891.92,363384.8,114760.91692307692,Vijay Patel,Retail,High Value
C00186,14,75,1993931.51,556129.73,142423.6792857143,Rohit Patel,Enterprise,High Value
C00187,5,27,739795.37,239256.18,147959.074,Nisha Singh,Enterprise,Medium Value
C00188,9,43,661689.73,143493.52,73521.08111111111,Sanjay Patel,Enterprise,Medium Value
C00189,8,32,767050.63,150076.05,95881.32875,Rahul Kumar,Enterprise,Medium Value
C00190,1,7,257164.28,48385.08,257164.28,Vijay Nair,SMB,Low Value
C00191,6,26,533366.09,36944.7,88894.34833333333,Ajay Das,Corporate,Low Value
C00192,8,43,819391.63,230180.65,102423.95375,Asha Das,SMB,Medium Value
C00193,5,27,151698.44,32893.75,30339.688000000002,Priya Kumar,Retail,Low Value
C00194,3,19,460658.6,104766.95000000001,153552.86666666667,Arun Patel,Corporate,Low Value
C00195,3,9,110220.52999999998,20334.79,36740.17666666666,Arun Iyer,Corporate,Low Value
C00196,4,26,528867.93,148558.43,132216.9825,Arun Iyer,Corporate,Low Value
C00197,3,18,239475.61,44685.88,79825.20333333332,Meena Patel,Enterprise,Low Value
C00198,1,6,32077.63,6619.25,32077.63,Anitha Rao,Corporate,Low Value
C00199,2,11,172993.63,16726.71,86496.815,Karthik Sharma,Corporate,Low Value
C00200,6,32,805809.5800000001,248713.12,134301.59666666668,Sneha Sharma,Corporate,Medium Value
C00201,8,33,514316.07,116843.06,64289.50875,Deepak Kumar,SMB,Low Value
C00202,3,13,426405.33,95824.59,142135.11000000002,Priya Singh,Retail,Low Value
C00203,6,21,302959.45,46380.14,50493.24166666667,Surya Reddy,Corporate,Low Value
C00204,14,67,1418328.03,449194.52999999997,101309.145,Surya Rao,Enterprise,High Value
C00205,13,62,1866515.04,497277.02,143578.08000000002,Karthik Sharma,Corporate,High Value
C00206,9,46,733133.3200000001,192528.93,81459.25777777779,Sanjay Kumar,Enterprise,Medium Value
C00207,5,29,664546.17,117150.23,132909.234,Asha Rao,Corporate,Medium Value
C00208,7,41,996374.8200000001,359280.91,142339.26,Meena Sharma,Retail,High Value
C00209,15,72,1527030.99,318624.03,101802.066,Sanjay Nair,Retail,High Value
C00210,5,32,362468.01,65766.17,72493.602,Ajay Sharma,SMB,Low Value
C00211,6,29,697081.95,187403.62,116180.325,Divya Kumar,Retail,Medium Value
C00212,8,44,904431.76,248021.83,113053.97,Rohit Kumar,Enterprise,Medium Value
C00213,15,58,1320262.53,383123.3,88017.50200000001,Surya Iyer,SMB,High Value
C00214,8,32,727388.84,209042.28,90923.605,Nisha Singh,Corporate,Medium Value
C00215,12,52,1693253.08,506550.76,141104.42333333334,Pooja Singh,Corporate,High Value
C00216,10,51,1218462.5,340219.82,121846.25,Kavya Gupta,SMB,High Value
C00217,7,36,548704.63,164864.1,78386.37571428572,Rohit Nair,Corporate,Low Value
C00218,6,29,502805.03,52162.21,83800.83833333333,Pooja Gupta,SMB,Low Value
C00219,8,26,551454.01,107957.27,68931.75125,Sneha Rao,Enterprise,Low Value
C00220,8,26,382545.19,104825.81,47818.14875,Sanjay Rao,Enterprise,Low Value
C00221,13,70,1639972.72,426368.52999999997,126151.74769230769,Surya Patel,SMB,High Value
C00222,5,17,639415.46,182229.0,127883.09199999999,Manoj Singh,Retail,Medium Value
C00223,3,18,273063.85,103828.0,91021.28333333333,Nisha Patel,Enterprise,Low Value
C00224,5,13,169501.46000000002,2358.6099999999997,33900.292,Manoj Gupta,Corporate,Low Value
C00225,11,57,1340542.74,443798.08999999997,121867.52181818182,Anitha Iyer,Retail,High Value
C00226,3,19,376106.82,96431.09,125368.94,Lakshmi Kumar,Corporate,Low Value
C00227,7,29,418528.04,100894.95999999999,59789.719999999994,Arun Sharma,Enterprise,Low Value
C00228,11,44,1110672.86,370287.04000000004,100970.26000000001,Rohit Das,SMB,High Value
C00229,3,11,255260.06,71127.48,85086.68666666666,Pooja Sharma,Retail,Low Value
C00230,3,15,192371.31,48869.6,64123.77,Sanjay Das,SMB,Low Value
C00231,6,28,753621.71,153234.09,125603.61833333333,Manoj Das,Enterprise,Medium Value
C00232,10,47,1415354.31,360803.22000000003,141535.431,Sanjay Sharma,SMB,High Value
C00233,6,33,503843.07,102922.81,83973.845,Asha Reddy,Enterprise,Low Value
C00234,4,15,436971.24,115738.75,109242.81,Sneha Reddy,Corporate,Low Value
C00235,1,1,10607.24,1017.41,10607.24,Rohit Kumar,SMB,Low Value
C00236,6,26,575572.96,168473.76,95928.82666666666,Asha Reddy,Enterprise,Low Value
C00237,6,33,1000800.6100000001,226710.63,166800.10166666668,Kavya Iyer,Enterprise,High Value
C00238,9,53,1050631.46,329064.16,116736.82888888888,Anitha Nair,Corporate,High Value
C00239,10,37,553085.11,128954.83,55308.511,Rahul Nair,Retail,Low Value
C00240,12,65,1396074.07,485646.82,116339.50583333334,Rahul Iyer,Corporate,High Value
C00241,7,28,750395.69,189388.62,107199.38428571427,Pooja Reddy,Corporate,Medium Value
C00242,3,21,494589.56,153349.8,164863.18666666668,Kavya Singh,SMB,Low Value
C00243,4,16,374641.13999999996,137389.94,93660.28499999999,Anitha Kumar,Corporate,Low Value
C00244,1,7,268104.9,112794.28,268104.9,Pooja Das,Corporate,Low Value
C00245,6,23,550734.66,142998.41999999998,91789.11,Priya Gupta,Retail,Low Value
C00246,6,24,683001.38,153888.52000000002,113833.56333333334,Ajay Patel,Enterprise,Medium Value
C00247,5,23,804224.78,266885.21,160844.956,Asha Iyer,Retail,Medium Value
C00248,5,29,732415.36,157341.01,146483.072,Asha Kumar,Corporate,Medium Value
C00249,6,18,500207.67000000004,115404.25,83367.945,Nisha Kumar,Corporate,Low Value
C00250,2,13,354110.70999999996,117645.23,177055.35499999998,Meena Patel,Enterprise,Low Value
C00251,16,67,1283868.8699999999,242072.31,80241.80437499999,Vijay Patel,Retail,High Value
C00252,12,35,605322.43,104501.76000000001,50443.535833333335,Sanjay Singh,Enterprise,Low Value
C00253,8,25,425510.10000000003,124811.89,53188.762500000004,Karthik Singh,SMB,Low Value
C00254,2,3,10475.880000000001,2156.01,5237.9400000000005,Sanjay Patel,Corporate,Low Value
C00255,12,60,1342401.44,337357.94,111866.78666666667,Manoj Sharma,Retail,High Value
C00256,5,19,400363.37,84107.29,80072.674,Kavya Nair,Retail,Low Value
C00257,9,48,1145500.18,410909.83999999997,127277.79777777777,Priya Iyer,Corporate,High Value
C00258,14,67,1729020.27,528818.35,123501.44785714286,Sanjay Singh,Enterprise,High Value
C00260,3,15,266968.45999999996,57214.020000000004,88989.48666666665,Sneha Das,Corporate,Low Value
C00261,10,46,1341405.19,405206.44,134140.519,Sneha Singh,Retail,High Value
C00262,9,43,813256.78,248853.01,90361.86444444445,Sneha Kumar,Corporate,Medium Value
C00263,4,24,693109.42,247662.24,173277.355,Divya Kumar,SMB,Medium Value
C00264,2,9,374273.70999999996,126966.12,187136.85499999998,Deepak Das,Retail,Low Value
C00265,8,23,667468.48,115618.3,83433.56,Rahul Das,Retail,Medium Value
C00266,10,39,837452.97,188310.78999999998,83745.29699999999,Sanjay Nair,Enterprise,Medium Value
C00267,10,45,957185.5,248926.22999999998,95718.55,Deepak Gupta,Retail,High Value
C00268,2,10,193736.78999999998,27330.22,96868.39499999999,Vijay Reddy,Corporate,Low Value
C00269,11,51,1040810.23,323825.92,94619.11181818182,Divya Reddy,Retail,High Value
C00270,4,8,291839.84,69758.76,72959.96,Sanjay Reddy,SMB,Low Value
C00271,7,25,577277.45,174028.09,82468.20714285714,Arun Singh,SMB,Low Value
C00272,2,13,265186.58,63875.92,132593.29,Karthik Patel,Corporate,Low Value
C00273,6,26,459677.78,104704.48000000001,76612.96333333333,Deepak Kumar,Enterprise,Low Value
C00274,5,8,292542.25,92693.79000000001,58508.45,Anitha Iyer,SMB,Low Value
C00275,6,29,575026.95,148668.14,95837.825,Arun Singh,SMB,Low Value
C00276,2,5,105011.46,15669.04,52505.73,Deepak Rao,Corporate,Low Value
C00277,5,27,417801.39,96436.54000000001,83560.278,Ajay Sharma,Enterprise,Low Value
C00278,6,27,465837.94000000006,114811.06999999999,77639.65666666668,Rohit Gupta,Retail,Low Value
C00279,1,8,65918.25,26668.31,65918.25,Meena Sharma,Corporate,Low Value
C00280,2,4,56872.350000000006,16283.050000000001,28436.175000000003,Divya Kumar,SMB,Low Value
C00281,2,8,189065.5,71869.39,94532.75,Deepak Iyer,Enterprise,Low Value
C00282,6,25,710708.42,161310.58,118451.40333333334,Arun Nair,Corporate,Medium Value
C00283,11,55,1150540.27,247842.92,104594.57,Kavya Das,Enterprise,High Value
C00284,2,7,76340.17,29804.36,38170.085,Ajay Sharma,Retail,Low Value
C00285,5,21,725576.83,267629.43,145115.36599999998,Meena Kumar,Corporate,Medium Value
C00286,15,72,1674290.23,461608.83999999997,111619.34866666667,Asha Rao,SMB,High Value
C00287,3,9,182270.16999999998,53707.090000000004,60756.72333333333,Priya Gupta,Enterprise,Low Value
C00288,6,31,597984.38,177354.11000000002,99664.06333333334,Deepak Kumar,Corporate,Low Value
C00289,8,44,1250531.19,340511.95999999996,156316.39875,Priya Iyer,Corporate,High Value
C00290,8,39,1004685.55,314203.64,125585.69375,Lakshmi Patel,Corporate,High Value
C00291,6,31,849192.91,156551.08,141532.15166666667,Rahul Kumar,Corporate,Medium Value
C00292,5,13,159537.27,35428.67,31907.453999999998,Arun Rao,Enterprise,Low Value
C00293,3,10,160798.56,9135.199999999999,53599.52,Karthik Reddy,Enterprise,Low Value
C00294,3,11,357453.04,119465.27,119151.01333333332,Anitha Das,Retail,Low Value
C00295,6,27,506499.08,72927.6,84416.51333333334,Surya Gupta,Retail,Low Value
C00297,5,18,404045.88,145265.39,80809.176,Ajay Patel,Retail,Low Value
C00298,6,32,1034405.43,161366.88,172400.905,Rahul Sharma,SMB,High Value
C00299,9,34,800985.62,214906.87,88998.40222222223,Asha Nair,SMB,Medium Value
C00301,2,16,91177.99,16513.74,45588.995,Rahul Sharma,SMB,Low Value
C00302,10,54,1360068.45,347738.59,136006.845,Nisha Singh,SMB,High Value
C00303,12,57,1753430.69,452759.69,146119.22416666665,Divya Das,Retail,High Value
C00304,5,24,725975.61,121985.39000000001,145195.122,Karthik Patel,SMB,Medium Value
C00305,4,14,281511.44,79135.03,70377.86,Surya Gupta,Enterprise,Low Value
C00306,6,31,1114070.96,344615.42000000004,185678.49333333332,Vijay Das,SMB,High Value
C00307,10,53,1788851.46,518530.0,178885.146,Manoj Kumar,SMB,High Value
C00308,15,81,2261549.61,599717.8,150769.974,Arun Rao,Corporate,High Value
C00309,11,41,914098.23,193612.75,83099.8390909091,Ajay Das,SMB,Medium Value
C00310,7,34,542056.64,161917.38,77436.66285714286,Pooja Iyer,Corporate,Low Value
C00311,14,63,1527242.0899999999,336929.57,109088.72071428571,Pooja Patel,SMB,High Value
C00312,2,7,237653.97,47402.61,118826.985,Kavya Iyer,Corporate,Low Value
C00313,13,52,1099561.39,315410.31,84581.64538461537,Sneha Kumar,Enterprise,High Value
C00314,3,12,214447.84,25807.550000000003,71482.61333333333,Kavya Iyer,Enterprise,Low Value
C00315,3,6,101555.75,19357.55,33851.916666666664,Meena Patel,Enterprise,Low Value
C00316,4,12,298935.92,21784.3,74733.98,Anitha Reddy,SMB,Low Value
C00317,8,41,649917.13,120307.65,81239.64125,Anitha Gupta,SMB,Medium Value
C00318,6,31,723131.85,209865.29,120521.97499999999,Sneha Das,Retail,Medium Value
C00319,11,67,1532268.88,432063.72,139297.1709090909,Arun Iyer,Corporate,High Value
C00320,2,10,297386.35,72387.94,148693.175,Sneha Nair,Retail,Low Value
C00321,14,79,1669457.3599999999,338749.41,119246.95428571428,Priya Nair,Corporate,High Value
C00322,7,24,377914.06,72349.92,53987.72285714286,Rahul Reddy,Corporate,Low Value
C00323,6,21,667408.99,194269.72999999998,111234.83166666667,Asha Gupta,Enterprise,Medium Value
